name.of.chain,img.file,type
O'Charley's,inst/extdata/ocharleys_logo.png,NA
Red Lobster,inst/extdata/red-lobster_logo.png,NA
P.F. Chang's China Bistro,inst/extdata/pf-changs_logo.png,NA
Outback Steakhouse,inst/extdata/Outback-Steakhouse_logo.png,NA
Buffalo Wild Wings,inst/extdata/buffalo-wild-wings_logo.png,NA
BJ's Restaurant & Brewhouse,inst/extdata/BJ-restaurant-and-brewhouse_logo.png,NA
Red Robin Gourmet Burgers & Brews,inst/extdata/Red-Robin_logo.png,NA
Bonefish Grill,inst/extdata/bonefish-grill_logo.png,NA
McDonald's,inst/extdata/mcdonalds_logo.png,NA
